Firm,Website,Firm's Investment Category,HQ
EnBW New Ventures,www.env.vc,"Travel, Enterprise, Automotive, Big Data, Energy, Transportation, Mobile","Karlsruhe, Baden-Wurttemberg, Germany"
Eniac Ventures,www.eniac.vc,"Social, Enterprise, Mobile","New York, New York, United States"
Entree Capital,www.entreecap.com,"Big Data, E-Commerce, Security, Healthcare, Finance, AI/ML, SaaS","London, England, United Kingdom"
Epic Ventures,www.epicvc.com,"Security, Big Data, Energy, SaaS, Enterprise, Healthcare","Salt Lake City, Utah, United States"
Evolution Equity Partners,evolutionequity.com,"Big Data, AI/ML, Enterprise, Security","New York, New York, United States"
Fairhaven Capital Partners,fairhavencapital.com,"Security, Mobile, AI/ML, Enterprise, SaaS","Cambridge, Massachusetts, United States"
Felicis Ventures,www.felicis.com,"Enterprise, Mobile, E-Commerce, Social, Big Data, Healthcare, Consumer","Menlo Park, California, United States"
Felix Capital,www.felixcap.com,"Media, Marketplace, Travel, Mobile, E-Commerce, SaaS, Food & Drink","London, England, United Kingdom"
Fenox Venture Capital,www.fenoxvc.com,"Big Data, AI/ML, E-Commerce, Healthcare, Mobile, Consumer","San Jose, California, United States"
Fenway Summer Ventures,fenwaysummer.com,"SaaS, Healthcare, Finance, Enterprise","Bethesda, Maryland, United States"
ff Venture Capital,ffvc.com,"Mobile, SaaS, Social, Enterprise, Big Data","New York, New York, United States"
Fifth Wall,fifthwall.vc,"Big Data, Marketplace, Energy, SaaS, Real Estate, E-Commerce, Mobile","Venice, California, United States"
Finch Capital,finchcapital.com,"Automotive, Enterprise, E-Commerce, Mobile, Finance, SaaS, Big Data","Amsterdam, Noord-Holland, The Netherlands"
First Round Capital,firstround.com,"Social, Healthcare, Enterprise, Finance, Mobile, E-Commerce, Consumer","San Francisco, California, United States"
FirstMark Capital,firstmarkcap.com,"Media, Social, SaaS, Finance, Enterprise, Mobile, Big Data","New York, New York, United States"
Firstminute Capital,firstminute.capital,"Energy, Government, Mobile, Gaming, AI/ML, Big Data, Finance","London, England, United Kingdom"
FJ Labs,fjlabs.com,"Mobile, Finance, E-Commerce, Marketplace, Enterprise, Healthcare, Consumer","New York, New York, United States"
Flagship Pioneering,flagshippioneering.com,"Enterprise, Healthcare, Life Sci.","Cambridge, Massachusetts, United States"
Flint Capital,www.flintcap.com,"SaaS, Mobile, Enterprise, Big Data, E-Commerce, AI/ML, Finance","Palo Alto, California, United States"
Floodgate,floodgate.com,"Social, Mobile, SaaS, Enterprise, E-Commerce, Consumer","Palo Alto, California, United States"
Flybridge Capital Partners,www.flybridge.com,"SaaS, Social, Enterprise, Mobile, Healthcare, Finance","Boston, Massachusetts, United States"
Forerunner Ventures,forerunnerventures.com,"Mobile, Healthcare, E-Commerce, Retail, Enterprise, Consumer","San Francisco, California, United States"
Foresight Group,www.foresightgroup.eu,"Mobile, Media, Energy, Healthcare, Finance, Enterprise, Life Sci.","London, England, United Kingdom"
Foresite Capital,www.foresitecapital.com,"Healthcare, Life Sci.","San Francisco, California, United States"
Forgepoint Capital,forgepointcap.com,"Mobile, Enterprise, Security, Consumer","San Mateo, California, United States"
Formation 8,formation8.com,"SaaS, AI/ML, Mobile, Big Data, Enterprise","San Francisco, California, United States"
Forward Partners,forwardpartners.com,"Healthcare, Life Sci.","London, England, United Kingdom"
Foundation Capital,foundationcapital.com,"SaaS, Mobile, Big Data, Finance, Enterprise","Palo Alto, California, United States"
Founder Collective,www.foundercollective.com,"Marketplace, SaaS, E-Commerce, Mobile, Enterprise, Social, Big Data","Cambridge, Massachusetts, United States"
Founders Fund,foundersfund.com,"Life Sci., SaaS, Enterprise, Social, Mobile, Big Data, Finance","San Francisco, California, United States"
Foundry Group,foundrygroup.com,"Hardware, Mobile, Big Data, Social, SaaS, Enterprise","Boulder, Colorado, United States"
F-Prime Capital Partners,fprimecapital.com,"Big Data, Finance, Healthcare, Life Sci.","Cambridge, Massachusetts, United States"
FREES FUND,www.freesvc.com,"AI/ML, SaaS, Automotive, Social, Big Data, Finance, Enterprise","Beijing, Beijing, China"
Frontier Capital,frontiercapital.com,"Energy, Social, Enterprise, SaaS, Healthcare, Big Data","Charlotte, North Carolina, United States"
Frontline Ventures,www.frontline.vc,"E-Commerce, Finance, Enterprise, AI/ML, Big Data, Consumer","London, England, United Kingdom"
Fuel Capital,www.fuelcapital.com,"E-Commerce, Finance, SaaS, Big Data, Social, Mobile, Enterprise","San Francisco, California, United States"
Fuel Ventures,www.fuel.ventures,"Consumer, AI/ML, Enterprise, Social, Big Data, Finance, Mobile","London, England, United Kingdom"
Geekdom Fund,geekdomfund.com,"SaaS, Mobile, Big Data, Enterprise, AI/ML","San Antonio, Texas, United States"
General Catalyst,www.generalcatalyst.com,"SaaS, Enterprise, Social, Mobile, E-Commerce, Consumer","Cambridge, Massachusetts, United States"
Georgian Partners,georgianpartners.com,"Finance, E-Commerce, Security, Healthcare, Enterprise, Big Data, Mobile","Toronto, Ontario, Canada"
German Ventures,german-ventures.com,"Finance, Automotive, Marketplace, Food & Drink, Transportation, E-Commerce, Mobile","Munich, Bayern, Germany"
GGV Capital,www.ggvc.com,"Social, Enterprise, Healthcare, Mobile, E-Commerce, Consumer","Menlo Park, California, United States"
Gilde Healthcare,gildehealthcare.com,"Healthcare, Life Sci.","Utrecht, Utrecht, The Netherlands"
Gimv,www.gimv.com,"Hardware, Healthcare, Life Sci., Enterprise","Antwerpen, Antwerpen, Belgium"
