GEO.id,GEO.id2,GEO.display-label,GC.target-geo-id,GC.target-geo-id2,GC.display-label,GC.display-label,popchg4201072017,natinc4201072017,births4201072017,deaths4201072017,netmig4201072017,intlmig4201072017,dommig4201072017,popchg20162017,natinc20162017,births20162017,deaths20162017,netmig20162017,intlmig20162017,dommig20162017
0100000US,,United States,310M300US21300,21300,"United States - Elmira, NY Metro Area","Elmira, NY Metro Area",-3284,344,7166,6822,-3627,521,-4148,-483,5,937,932,-488,81,-569
0100000US,,United States,310M300US21340,21340,"United States - El Paso, TX Metro Area","El Paso, TX Metro Area",40695,62233,98803,36570,-21829,20697,-42526,3598,7884,13283,5399,-4301,3110,-7411
0100000US,,United States,310M300US21420,21420,"United States - Enid, OK Metro Area","Enid, OK Metro Area",1001,2077,7019,4942,-1056,1168,-2224,-803,304,952,648,-1109,109,-1218
0100000US,,United States,310M300US21500,21500,"United States - Erie, PA Metro Area","Erie, PA Metro Area",-6023,2524,22920,20396,-8511,4890,-13401,-1780,275,3031,2756,-2066,924,-2990
0100000US,,United States,310M300US21660,21660,"United States - Eugene, OR Metro Area","Eugene, OR Metro Area",23035,1427,25933,24506,21788,4151,17637,6465,204,3685,3481,6240,657,5583
0100000US,,United States,310M300US21780,21780,"United States - Evansville, IN-KY Metro Area","Evansville, IN-KY Metro Area",4115,4096,27242,23146,229,1554,-1325,-31,436,3683,3247,-451,245,-696
0100000US,,United States,310M300US21820,21820,"United States - Fairbanks, AK Metro Area","Fairbanks, AK Metro Area",2118,8947,12364,3417,-7011,2221,-9232,-899,1206,1700,494,-2110,132,-2242
0100000US,,United States,310M300US22020,22020,"United States - Fargo, ND-MN Metro Area","Fargo, ND-MN Metro Area",32579,13381,23852,10471,18997,5476,13521,3873,1971,3507,1536,1902,883,1019
0100000US,,United States,310M300US22140,22140,"United States - Farmington, NM Metro Area","Farmington, NM Metro Area",-3119,6432,13381,6949,-9633,56,-9689,-846,657,1700,1043,-1507,14,-1521
0100000US,,United States,310M300US22180,22180,"United States - Fayetteville, NC Metro Area","Fayetteville, NC Metro Area",20340,27910,47548,19638,-8741,12385,-21126,16,3365,6290,2925,-3362,835,-4197
0100000US,,United States,310M300US22220,22220,"United States - Fayetteville-Springdale-Rogers, AR-MO Metro Area","Fayetteville-Springdale-Rogers, AR-MO Metro Area",74253,26658,52151,25493,47115,9184,37931,12287,3903,7482,3579,8351,1478,6873
0100000US,,United States,310M300US22380,22380,"United States - Flagstaff, AZ Metro Area","Flagstaff, AZ Metro Area",6341,6548,12182,5634,-227,1152,-1379,697,727,1615,888,-29,212,-241
0100000US,,United States,310M300US22420,22420,"United States - Flint, MI Metro Area","Flint, MI Metro Area",-18403,4013,35720,31707,-22658,1254,-23912,-1222,231,4675,4444,-1448,176,-1624
0100000US,,United States,310M300US22500,22500,"United States - Florence, SC Metro Area","Florence, SC Metro Area",260,1881,18436,16555,-1457,532,-1989,13,103,2448,2345,-80,92,-172
0100000US,,United States,310M300US22520,22520,"United States - Florence-Muscle Shoals, AL Metro Area","Florence-Muscle Shoals, AL Metro Area",-99,-1787,11211,12998,1803,210,1593,392,-269,1543,1812,667,17,650
0100000US,,United States,310M300US22540,22540,"United States - Fond du Lac, WI Metro Area","Fond du Lac, WI Metro Area",918,1205,7895,6690,-248,1109,-1357,338,159,1043,884,184,189,-5
0100000US,,United States,310M300US22660,22660,"United States - Fort Collins, CO Metro Area","Fort Collins, CO Metro Area",44348,9970,24843,14873,33905,3032,30873,5445,1286,3488,2202,4138,489,3649
0100000US,,United States,310M300US22900,22900,"United States - Fort Smith, AR-OK Metro Area","Fort Smith, AR-OK Metro Area",1548,4015,25433,21418,-2356,1899,-4255,1054,466,3520,3054,599,354,245
